dataset,column,value,patch_type,n
PL,patch_type,negative,,6622
PL,patch_type,positive,,4436
PL,category,L,,2634
PL,category,M,,1802
PL,basin_id,24027703,,11058
PL,category,L,positive,2634
PL,category,M,positive,1802
PL,basin_id,24027703,negative,6622
PL,basin_id,24027703,positive,4436
PL_test,patch_type,negative,,6124
PL_test,patch_type,positive,,3440
PL_test,category,L,,2040
PL_test,category,M,,1400
PL_test,basin_id,24027708,,9564
PL_test,category,L,positive,2040
PL_test,category,M,positive,1400
PL_test,basin_id,24027708,negative,6124
PL_test,basin_id,24027708,positive,3440
USA,patch_type,negative,,16416
USA,patch_type,positive,,7305
USA,category,L,,4961
USA,category,M,,2344
USA,basin_id,74072588,,15166
USA,basin_id,74071210,,3854
USA,basin_id,74053287,,1588
USA,basin_id,74036934,,1057
USA,basin_id,74071246,,693
USA,basin_id,73014311,,410
USA,basin_id,73014354,,342
USA,basin_id,74071277,,127
USA,basin_id,74054789,,112
USA,basin_id,74071482,,87
USA,basin_id,75011551,,87
USA,basin_id,74071461,,60
USA,basin_id,73014567,,39
USA,basin_id,74054318,,34
USA,basin_id,73014455,,33
USA,basin_id,74054349,,21
USA,basin_id,73017619,,11
USA,category,L,positive,4961
USA,category,M,positive,2344
USA,basin_id,73014311,negative,353
USA,basin_id,73014311,positive,57
USA,basin_id,73014354,negative,325
USA,basin_id,73014354,positive,17
USA,basin_id,73014455,negative,33
USA,basin_id,73014455,positive,0
USA,basin_id,73014567,negative,39
USA,basin_id,73014567,positive,0
USA,basin_id,73017619,negative,11
USA,basin_id,73017619,positive,0
USA,basin_id,74036934,negative,366
USA,basin_id,74036934,positive,691
USA,basin_id,74053287,negative,1322
USA,basin_id,74053287,positive,266
USA,basin_id,74054318,negative,34
USA,basin_id,74054318,positive,0
USA,basin_id,74054349,negative,21
USA,basin_id,74054349,positive,0
USA,basin_id,74054789,negative,112
USA,basin_id,74054789,positive,0
USA,basin_id,74071210,negative,2176
USA,basin_id,74071210,positive,1678
USA,basin_id,74071246,negative,659
USA,basin_id,74071246,positive,34
USA,basin_id,74071277,negative,127
USA,basin_id,74071277,positive,0
USA,basin_id,74071461,negative,54
USA,basin_id,74071461,positive,6
USA,basin_id,74071482,negative,44
USA,basin_id,74071482,positive,43
USA,basin_id,74072588,negative,10653
USA,basin_id,74072588,positive,4513
USA,basin_id,75011551,negative,87
USA,basin_id,75011551,positive,0
