threshold,precision,recall,f1,iou
0.05,0.1149,0.6376,0.1946,0.1078
0.1,0.2873,0.6071,0.39,0.2423
0.15,0.377,0.5947,0.4615,0.2999
0.2,0.4276,0.5866,0.4946,0.3286
0.25,0.4662,0.5794,0.5167,0.3483
0.3,0.478,0.575,0.522,0.3532
0.35,0.4893,0.5707,0.5269,0.3577
0.4,0.5005,0.5664,0.5314,0.3619
0.45,0.512,0.5621,0.5359,0.366
0.5,0.5237,0.5577,0.5402,0.37
0.55,0.5361,0.553,0.5444,0.374
0.6,0.5497,0.5479,0.5488,0.3781
0.65,0.5648,0.5422,0.5533,0.3824
0.7,0.5822,0.5357,0.558,0.3869
0.75,0.6025,0.5282,0.5629,0.3917
0.8,0.6267,0.519,0.5678,0.3964
0.85,0.6556,0.5069,0.5717,0.4003
0.9,0.6888,0.489,0.572,0.4005
0.95,0.734,0.4557,0.5623,0.3911
