threshold,precision,recall,f1,iou
0.05,0.2219,0.6884,0.3356,0.2016
0.1,0.3976,0.6698,0.499,0.3324
0.15,0.4594,0.6604,0.5418,0.3716
0.2,0.4915,0.6533,0.561,0.3898
0.25,0.5151,0.6471,0.5736,0.4022
0.3,0.526,0.6422,0.5783,0.4068
0.35,0.5363,0.6374,0.5825,0.4109
0.4,0.5462,0.6326,0.5862,0.4147
0.45,0.5561,0.6278,0.5898,0.4182
0.5,0.5662,0.6227,0.5931,0.4216
0.55,0.5767,0.6174,0.5963,0.4249
0.6,0.5878,0.6116,0.5995,0.428
0.65,0.6,0.6051,0.6025,0.4312
0.7,0.6137,0.5976,0.6055,0.4342
0.75,0.6293,0.5888,0.6084,0.4372
0.8,0.6478,0.5778,0.6108,0.4397
0.85,0.6705,0.563,0.612,0.441
0.9,0.6993,0.5404,0.6096,0.4385
0.95,0.7439,0.496,0.5951,0.4236
