variant,group,n_patches,mean_dice,mean_iou,mean_cldice,mean_f1,mean_precision,mean_recall,micro_dice,micro_iou,micro_f1,micro_precision,micro_recall
v1 (DSM),NL | negative,765,0.2834733167490301,0.20619026669831036,0.5855164549291157,0.2834730783830485,0.24353292579880903,0.3714408536808566,0.470765579866395,0.30784396013350623,0.4707651325970033,0.3553625142926122,0.6971696301048178
v1 (DSM),NL | positive,765,0.6053747560752151,0.4536553076543535,0.7816772419855844,0.6053742954233143,0.503991145198024,0.7981848575221849,0.5977470423220886,0.42627618579741827,0.5977465736430296,0.4780895024789698,0.7972966025973299
v1 (DSM),PL | negative,6227,0.17193739552795914,0.11958967280113628,0.4842065970731217,0.17193723348208614,0.1473817079970038,0.2505568949175453,0.37469816966301583,0.23054066799723424,0.37469775001592814,0.26747338524927616,0.6254144333485298
v1 (DSM),PL | positive,6227,0.40591333720844675,0.27895107429909,0.5475161281992413,0.4059129508750873,0.3611894224977039,0.5765214155505483,0.46596461471675843,0.30375089074671086,0.46596415396630675,0.36398500203059037,0.6473306967395864
v2 (DSM+TPI),NL | negative,765,0.28846957287517055,0.2109141127055088,0.6083468148704265,0.28846933456987645,0.24778564668149253,0.3732704610608257,0.48824169171562876,0.3229627970556438,0.4882412370142185,0.3752838170859454,0.6984791668394924
v2 (DSM+TPI),NL | positive,765,0.6077163576340721,0.4557893790222481,0.7774673930341754,0.6077158954129006,0.5082581989100662,0.793414670648142,0.6003717215741862,0.4289508370389848,0.6003712510974225,0.4830045634773251,0.7930870229240908
v2 (DSM+TPI),PL | negative,6227,0.17576415078698482,0.1228566715446191,0.5111291128099502,0.17576398495666046,0.15332613066109146,0.24931162551015462,0.3820368169718676,0.23612207062515397,0.38203639074647094,0.2760141957625729,0.6203106540148576
v2 (DSM+TPI),PL | positive,6227,0.40611702990724485,0.27985451958158275,0.5404266405532862,0.40611664179861173,0.36548902233016267,0.566202011499434,0.46848965838312306,0.30590042107617743,0.46848919310122705,0.37078552275169757,0.6361077359360019
v3 (DSM+TPI+aux),NL | negative,765,0.36128536194979977,0.2914034133917691,0.8138826608818182,0.3612851176968828,0.328620159533568,0.41614537100603843,0.6817209089626951,0.5171294254741416,0.6817204145082675,0.6167656574689044,0.761968313886665
v3 (DSM+TPI+aux),NL | positive,765,0.7064676966059692,0.5688733280211508,0.8541403090876053,0.7064672214303155,0.630720252297573,0.826571433229813,0.7130655414410104,0.5540806967275136,0.7130650507191804,0.62757664383761,0.8255181609291754
v3 (DSM+TPI+aux),PL | negative,6227,0.24784370945627573,0.19323016077061483,0.7068245448980814,0.24784353023896893,0.2285221374297574,0.29519877193371896,0.6426067722787857,0.4734123901277974,0.6426062785324388,0.5779704559702312,0.7235204138735601
v3 (DSM+TPI+aux),PL | positive,6227,0.5272093818507987,0.402672133747217,0.6378964406177632,0.5272089890656201,0.4930139370343871,0.6247048604443888,0.6372870939549966,0.46766056968271663,0.6372866002818616,0.572849765845742,0.7180582838884575
